id,code,name,level,longitude,latitude
MugZpgZax2f,PLT-KAF-GBAP,Gbaneh Bana CHP,5,-13.17908,8.67214
xtr31UtTDAp,WAU-EA3-GBAH,Gbaneh Hospital,5,-13.1568,8.4448
Y7C9vGtdEAW,PLT-KAF-GBAM,Gbaneh Lol MCHP,5,-13.184520000000001,8.619318
ajtYGg9jgeC,KON-GBE-GBAM,Gbangadu MCHP,5,-10.85665,8.784120999999999
d6CexIzE4ha,BOO-SEL-GBAM,Gbangba MCHP,5,-11.75741,8.121512
KPA3AQeVTng,BOO-BAR-GBAM,Gbangbalia MCHP,5,-11.901100000000001,7.575571
Md9k5Ci1Sru,MOY-LOW-GBAC,Gbangbatoke CHC,5,-12.380522,7.807684999999999
nuvbU2K5kqS,BON-JON-GBAP,Gbaninga CHP,5,-12.267486,7.643390000000001
Qp8GIbUFzlS,BOO-BOC-GBAM,Gbanja Town MCHP,5,-11.743440000000001,7.9896400000000005
NxgxG3tcyLP,KAR-GBA-GBAP,Gbanti CHP,5,-12.26594,9.249115999999999
NfKkdcxKxe7,BON-NON-GBAC,Gbap CHC,5,-12.261595,7.378435
MF3fqK6UAeg,KAI-JAH-GBEP,Gbeika CHP,5,-10.836043,8.051968
IS5xJ97r3Iu,BOM-GBE-GBEC,Gbendembu CHC,5,-12.207370000000001,9.107481
JasmomcTCAL,KOI-SEN-GBOM,Gbenikoro MCHP,5,-11.470246,9.622836999999999
FxcdqdNCmZ4,FAL-FOL-GBEP,Gbentu CHC,5,-11.644642,9.9436
srSPvBUMFVi,FAL-MOR-GBEM,Gberefeh MCHP,5,-11.1447,9.414840000000002
yENVcd5LRG5,FAL-SUL-GBTM,Gberia Timbakor CHP,5,-11.196390000000001,9.755462
aFhr8pIIiVR,KON-FIA-GBEM,Gbetema (Fiama) MCHP,5,-10.8183,8.60341
tdfpNx9KwbV,KEN-TUN-GBEP,Gbeworbu CHP,5,-11.180095999999999,7.551025
Af4UUCuY1nB,KAI-LUA-GBEP,Gbeworbu Gao CHP,5,-10.5655,8.119819
M9jAoxUtRK9,KON-SAN-GBEM,Gbeya MCHP,5,-10.856634,8.886602
qdY5nVythIj,FAL-DES-GBIP,Gbindi CHP,5,-11.443348,9.911570000000001
v6MIwikLbZt,KAR-DIB-GBIC,Gbinti CHC,5,-12.599015,8.967861
pmWxCa4od6O,KAR-GBA-GBMM,Gbinti Maria MCHP,5,-12.26965,9.318589
P11381y4fkR,KEN-KEC-GB1M,Gbo-Kakajama 1 MCHP,5,-11.19039,7.855848
cUuEzkHJYFq,KEN-KEC-GB2M,Gbo-Kakajama 2 MCHP,5,-11.202043999999999,7.856954999999999
B6lp2grxsCn,KEN-KEC-GBOC,Gbo-Lambayama 1 CHC,5,-11.187570000000001,7.8814329999999995
Gyeh8FYSVbv,KEN-KEC-GBOM,Gbo-Lambayama 2 MCHP,5,-11.199202999999999,7.860492
Rl9x7N0gfzG,KAR-SAM-GBOM,Gbogbodo MCHP,5,-12.57313,9.171448999999999
w5vnavfUY9j,KAM-BRA-GBOM,Gbolon MCHP,5,-12.737860000000001,9.348467
BBNknagl6hY,KAR-DIB-GBOM,Gbombana MCHP,5,-12.658030000000002,8.925665
rhqwkvTNaR5,KAR-ROM-GBOM,Gbomsamba MCHP,5,-12.358077999999999,8.803118
UYzXpoIl66N,PUJ-KPN-GBOC,Gbondapi CHC,5,-11.849390000000001,7.3193600000000005
